17:17:19
country,customer total,customer out
Walton,23211,27
,529,0
Lafayette,4034,3878
Shelby,13858,0
Rutherford,27340,63
Clermont,90324,0
Tipton,3501,0
Monroe,119951,28570
Robeson,24105,0
Suwannee,21816,19669
Greene,7221,0
Indian River,56924,40942
Transylvania,15660,8
Dearborn,8521,0
Scott,2804,0
Davie,13165,0
Davidson,33863,0
Yadkin,14159,0
Vigo,48482,0
Caldwell,23308,0
Warrick,1466,0
Darlington,20562,24
Richmond,15249,0
Union,37825,4643
Jones,1937,0
Brevard,308960,217271
Randolph,50691,0
Gilchrist,7923,5720
Bartholomew,27576,0
Pasco,265904,125539
Manatee,209422,112748
Anderson,86424,10751
Moore,42816,1
Duplin,12170,0
Graham,6179,0
Hoke,4929,0
Sullivan,6465,0
Fayette,9528,0
Caswell,9064,0
Desoto,17614,14200
Guilford,210369,24
Stanly,10950,0
Collier,212167,192439
Mitchell,5466,8
Highlands,55154,52597
Lee,289895,217866
Cabarrus,53193,0
Hillsborough,315582,256274
Orange,551123,307175
Liberty,3302,1306
Stokes,18040,0
Pamlico,4070,0
Craven,18450,0
Glades,3354,179
Avery,1215,0
Lawrence,16988,0
Williamsburg,6470,971
Alexander,11887,0
Wabash,11366,0
Marlboro,4474,0
Brown,17762,0
Halifax,2135,0
Iredell,49827,35
New Hanover,124924,156
Bladen,8812,16
Kosciusko,276,0
Miami,2654,0
Madison,16891,7313
Wilson,1600,0
Brunswick,14435,7
Ripley,7719,0
Howard,41053,0
Wake,431725,0
York,34467,2477
Hancock,10609,0
Hernando,94931,31818
Crawford,4481,0
Floyd,26087,0
Rockingham,45732,0
Morgan,9380,1
Duval,441599,236126
Rowan,63392,0
Pike,2429,0
Alachua,120576,60866
Cumberland,31706,0
Benton,451,0
Macon,25310,662
Dixie,8742,7333
Delaware,85,0
Mccormick,19,11
Flagler,58357,48353
Vermillion,8251,0
Gulf,8433,205
Wells,205,0
Posey,1205,0
Pendleton,105,0
Washington,13393,137
Taylor,12739,9027
Columbia,31330,30391
Pitt,1997,0
Newberry,1785,10
Carroll,3782,0
Franklin,35478,1971
St. Johns,106678,80470
Miami-dade,1124137,780081
Marion,151521,102238
Huntington,10622,0
Georgetown,1708,1
Lancaster,32192,1086
Clark,37941,0
Rush,6244,0
Jennings,5381,0
Swain,11279,35
Johnston,68975,0
Mcdowell,18436,0
Cherokee,18147,14
Wilkes,29159,0
Carteret,25089,0
Chester,13976,969
Harrison,4497,0
Pickens,25766,2613
Kenton,62170,0
Parke,1275,0
Buncombe,132274,360
Calhoun,2029,888
Gadsden,14999,7937
Lake,149938,102489
Bay,106102,2596
Mecklenburg,448078,1282
Clinton,6436,0
Catawba,68932,1
Gaston,53643,595
Volusia,261351,185543
Cass,2907,0
Edgecombe,1364,0
Levy,19402,16237
Lenoir,11476,0
Person,13358,0
Campbell,40722,0
Alamance,74720,2
Henderson,63585,475
Fountain,3715,1
Lincoln,20700,25
Okaloosa,92569,144
Decatur,7802,0
Daviess,1526,0
Scotland,6016,0
Fulton,5764,0
Charlotte,114552,55191
Onslow,24750,0
Highland,304,0
Spartanburg,124775,2096
Sarasota,265345,153560
St. Lucie,127029,78669
Whitley,103,0
Nassau,21867,19840
Horry,1533,0
Hendry,9738,9738
Greenville,195678,12292
Knox,15285,0
Holmes,5052,58
Surry,25245,0
Abbeville,2003,998
Forsyth,175791,2
Preble,273,0
Durham,140456,6
Hendricks,34543,0
Chatham,31535,0
Butler,125980,85
Johnson,36665,0
Sampson,17464,0
Burke,21612,0
Hardee,9248,8397
Chesterfield,10668,4
Martin,96358,67936
Citrus,87665,52437
Beaufort,4732,58
Sumter,102713,23040
Wayne,47553,1
Pinellas,543847,412077
Florence,52312,244
Nash,23348,0
Switzerland,1082,0
Kershaw,5420,402
Palm Beach,742679,473368
Greenwood,25139,4110
Saluda,4,6
Oconee,10455,1136
Wakulla,15461,6763
Pender,16998,0
Unknown,5314,1820
Edgefield,999,2
Clarendon,6194,16
Harnett,34555,0
Leon,24519,13592
Columbus,16392,0
Haywood,23793,140
Seminole,211093,154413
Jackson,43975,6150
Gibson,9007,0
Boone,41268,0
Dillon,10339,0
Montgomery,13047,0
Escambia,152740,387
Fairfield,884,682
Hamilton,537677,5642
Clay,94814,52727
Henry,11672,0
Okeechobee,20093,19883
Santa Rosa,68740,3
Bradford,9842,8836
Dubois,2,0
Anson,5486,1
Putnam,50536,36089
Vance,20864,0
Baker,7860,6730
Jefferson,23138,7554
Yancey,652,0
Warren,85652,2
Osceola,70430,25740
Grant,3562,0
Polk,328223,130678
Cleveland,31559,350
Tippecanoe,57708,1
Broward,939274,602498
Owen,2868,0
Laurens,10047,3144
Granville,18148,0
