15:56:35
country,customer total,customer out
Walton,23210,59
,529,0
Lafayette,4034,3882
Shelby,13858,0
Rutherford,27340,3
Clermont,90324,1
Tipton,3501,0
Monroe,119951,28568
Robeson,24105,1
Suwannee,21799,21664
Greene,7221,0
Indian River,56924,41488
Transylvania,15660,1279
Dearborn,8521,0
Scott,2804,0
Davie,13165,0
Davidson,33863,0
Yadkin,14159,0
Vigo,48482,0
Caldwell,23308,0
Warrick,1466,0
Darlington,20562,5
Richmond,15249,0
Union,37825,4566
Jones,1937,0
Brevard,308960,218891
Randolph,50691,5
Gilchrist,7923,6950
Bartholomew,27576,0
Pasco,265855,122350
Manatee,209422,114220
Anderson,86424,9020
Moore,42816,0
Duplin,12170,14
Graham,6179,0
Hoke,4929,0
Sullivan,6465,0
Fayette,9528,0
Caswell,9064,0
Desoto,17614,14197
Guilford,210369,3
Stanly,10950,0
Collier,212167,191139
Mitchell,5466,40
Highlands,55154,52526
Lee,289895,223912
Cabarrus,53193,1
Hillsborough,312723,250333
Orange,551123,319742
Liberty,3302,1250
Stokes,18040,0
Pamlico,4070,0
Craven,18450,0
Glades,3354,179
Avery,1215,0
Lawrence,16988,0
Williamsburg,6470,4
Alexander,11887,0
Wabash,11366,0
Marlboro,4474,0
Brown,17762,0
Halifax,2135,0
Iredell,49827,1
New Hanover,124924,216
Bladen,8812,0
Kosciusko,276,0
Miami,2654,0
Madison,16891,7506
Wilson,1600,0
Brunswick,14435,44
Ripley,7719,0
Howard,41053,1
Wake,431725,1
York,34467,76
Hancock,10609,0
Hernando,94931,31796
Crawford,4481,0
Floyd,26087,2
Rockingham,45732,0
Morgan,9380,0
Duval,441599,231724
Rowan,63392,0
Pike,2429,0
Alachua,120576,62213
Cumberland,31706,1
Benton,451,0
Macon,25310,171
Dixie,8742,7300
Delaware,85,0
Mccormick,19,11
Flagler,58357,48288
Vermillion,8251,0
Gulf,8433,1175
Wells,205,0
Posey,1205,0
Pendleton,105,0
Washington,13384,272
Taylor,12739,10001
Columbia,31330,30393
Pitt,1997,0
Newberry,1785,7
Carroll,3782,0
Franklin,35478,1965
St. Johns,106678,81106
Miami-dade,1124137,801007
Marion,151521,100544
Huntington,10622,0
Georgetown,1708,2
Lancaster,32192,371
Clark,37941,0
Rush,6244,0
Jennings,5381,0
Swain,11279,26
Johnston,68975,0
Mcdowell,18436,0
Cherokee,18147,567
Wilkes,29159,0
Carteret,25089,0
Chester,13976,528
Harrison,4497,0
Pickens,25766,658
Kenton,62170,0
Parke,1275,0
Buncombe,132274,45
Calhoun,2029,221
Gadsden,14999,8355
Lake,149938,101599
Bay,104611,464
Mecklenburg,448078,300
Clinton,6436,0
Catawba,68932,0
Gaston,53643,80
Volusia,261351,186991
Cass,2907,0
Edgecombe,1364,0
Levy,19402,16673
Lenoir,11476,0
Person,13358,0
Campbell,40722,0
Alamance,74720,1
Henderson,63585,63
Fountain,3715,0
Lincoln,20700,24
Okaloosa,92569,105
Decatur,7802,0
Daviess,1526,0
Scotland,6016,0
Fulton,5764,0
Charlotte,114552,60548
Onslow,24750,0
Highland,304,0
Spartanburg,124775,1830
Sarasota,265345,159845
St. Lucie,127029,84484
Whitley,103,0
Nassau,21867,19804
Horry,1533,0
Hendry,9738,9738
Greenville,195678,11028
Knox,15285,0
Holmes,5052,68
Surry,25245,0
Abbeville,2003,1161
Forsyth,175791,1
Preble,273,0
Durham,140456,9
Hendricks,34543,0
Chatham,31535,0
Butler,125980,85
Johnson,36665,0
Sampson,17464,0
Burke,21612,0
Hardee,9248,8397
Chesterfield,10668,35
Martin,96358,68054
Citrus,87665,51548
Beaufort,4732,22
Sumter,102713,23060
Wayne,47553,1
Pinellas,543847,405233
Florence,52312,190
Nash,23348,0
Switzerland,1082,0
Kershaw,5420,12
Palm Beach,742679,487034
Greenwood,25139,4030
Saluda,4,5
Oconee,10455,284
Wakulla,15461,6832
Pender,16998,2
Unknown,5314,1474
Edgefield,999,0
Clarendon,6194,21
Harnett,34555,0
Leon,24519,13927
Columbus,16392,0
Haywood,23793,67
Seminole,211093,153408
Jackson,43940,3244
Gibson,9007,0
Boone,41268,0
Dillon,10339,0
Montgomery,13047,0
Escambia,152740,23
Fairfield,884,1
Hamilton,537677,5645
Clay,94814,56888
Henry,11672,0
Okeechobee,20093,19824
Santa Rosa,68740,4
Bradford,9842,8668
Dubois,2,0
Anson,5486,0
Putnam,50536,36126
Vance,20864,0
Baker,7860,6730
Jefferson,23138,7044
Yancey,652,190
Warren,85652,8
Osceola,70412,26554
Grant,3562,0
Polk,323487,130595
Cleveland,31559,329
Tippecanoe,57708,0
Broward,939274,608800
Owen,2868,0
Laurens,10047,3000
Granville,18148,0
