10:13:47
country,customer total,customer out
,529,0
Sumter,102713,22358
Franklin,35478,37
Union,37825,4327
Wake,431725,714
Randolph,50691,0
Anderson,86424,199
Greenwood,25139,904
Lenoir,11476,0
Chatham,31535,0
Bradford,9842,9534
Edgecombe,1364,0
Fountain,3715,0
Gulf,8433,135
Williamsburg,6470,0
Highlands,55154,49119
Stokes,18040,1
Lincoln,20700,0
Onslow,24750,2
Columbus,16392,0
Moore,42816,279
Jennings,5381,0
Seminole,211093,135918
Spartanburg,124775,8
Beaufort,4732,0
Owen,2868,0
Fayette,9528,0
Suwannee,21721,21221
Harrison,4497,0
Cleveland,31559,1
Kosciusko,276,0
Person,13358,0
Hancock,10609,0
Highland,304,0
Gilchrist,7773,7477
Haywood,23793,1
Alamance,74720,7
Horry,1533,0
Dillon,10339,0
Surry,25245,0
Warrick,1466,0
Dubois,2,0
Rockingham,45732,0
Clarendon,6194,0
Polk,316480,114990
Ripley,7719,0
Avery,1215,0
Chesterfield,10668,0
Scott,2804,0
Charlotte,114552,65079
Morgan,9380,0
Mitchell,5466,28
Pamlico,4070,0
Catawba,68932,4
Laurens,10047,0
Osceola,70378,26578
Leon,24519,14948
Columbia,31330,30843
Monroe,119951,28568
Chester,13976,0
Buncombe,132274,6
St. Johns,106678,89958
Georgetown,1708,0
Howard,41053,0
Stanly,10950,0
Yadkin,14159,0
Warren,85652,7
Rutherford,27340,0
Lafayette,4034,3362
Macon,25310,3
Bartholomew,27576,0
Cabarrus,53193,3
Davie,13165,6
Orange,550560,281292
Switzerland,1082,0
Miami-dade,1124137,826037
Daviess,1526,0
Posey,1205,0
Cherokee,18147,0
Yancey,652,190
Hendricks,34543,4
Broward,939274,637982
Scotland,6016,0
Mecklenburg,448078,208
Parke,1275,0
Pender,16998,0
Boone,41268,1
Pasco,264375,92441
Palm Beach,742679,518619
Graham,6179,0
Jefferson,23138,4506
Vance,20864,6
Holmes,5052,23
Mccormick,19,0
Iredell,49827,1
Campbell,40722,1
Decatur,7802,0
Martin,96358,74334
Rowan,63392,4
Carteret,25089,3
Wilson,1600,0
Johnston,68975,2
Brown,17762,0
Anson,5486,0
Vermillion,8251,0
Crawford,4481,0
Clark,37941,0
Huntington,10622,0
Unknown,5314,2930
Oconee,10455,0
Lancaster,32192,0
Okaloosa,92569,7
Edgefield,999,0
Wayne,47553,201
Vigo,48482,7
Kershaw,5420,0
Madison,16891,6078
Alexander,11887,0
Wilkes,29159,0
Halifax,2135,0
Clermont,90324,64
Duplin,12170,1
Putnam,50536,36728
Hamilton,537677,4752
Wabash,11366,0
Lawrence,16988,0
Darlington,20562,0
Dixie,8208,7566
Cass,2907,0
Desoto,17559,16225
Pinellas,543847,298414
Saluda,4,5
Sampson,17464,1
Grant,3562,0
Flagler,58357,51252
Dearborn,8521,0
Cumberland,31706,0
Collier,212167,195048
Marion,151521,84636
Transylvania,15660,0
Tipton,3501,0
Bladen,8812,0
Glades,3354,143
Shelby,13858,0
Wakulla,15461,6773
Davidson,33863,1
Pitt,1997,0
Knox,15285,0
Taylor,12739,7491
Alachua,120568,66515
Butler,125980,4
Rush,6244,0
Hernando,94931,30408
Harnett,34555,297
Burke,21612,0
Calhoun,2029,1034
Baker,7860,7734
Florence,52312,1
Clay,94814,70083
Nassau,21867,19547
Craven,18450,0
Swain,11279,0
Nash,23348,0
Wells,205,0
Liberty,3302,2021
Caldwell,23308,0
Forsyth,175791,7
Marlboro,4474,0
Greene,7221,0
Preble,273,0
Gibson,9007,0
Clinton,6436,0
New Hanover,124924,120
Bay,104611,1549
Hardee,9248,8612
Caswell,9064,8
Pike,2429,0
Floyd,26087,2
Brunswick,14435,107
Sullivan,6465,0
Guilford,210369,9
Lake,149938,74327
Delaware,85,0
Abbeville,2003,1
Henry,11672,0
Hoke,4929,0
Benton,451,0
Lee,289895,231113
Mcdowell,18436,0
Henderson,63585,11
Pendleton,105,0
Manatee,209422,132027
Whitley,103,0
Escambia,152740,6
Fulton,5764,0
Fairfield,884,0
Hillsborough,288971,261717
Carroll,3782,0
Washington,12658,366
Miami,2654,0
Brevard,308960,235867
Pickens,25766,0
Volusia,261351,176701
Richmond,15249,0
St. Lucie,127029,89580
Indian River,56924,47031
Citrus,87665,40649
Durham,140456,0
Tippecanoe,57708,0
Granville,18148,0
Johnson,36665,0
Montgomery,13047,0
Sarasota,265342,168103
Levy,19402,15159
York,34467,0
Jones,1937,0
Kenton,62170,0
Robeson,24105,0
Greenville,195678,51
Santa Rosa,68740,7
Okeechobee,20093,19797
Gadsden,14999,9324
Newberry,1785,0
Jackson,43522,1378
Walton,23163,139
Gaston,53643,5
Duval,441599,248382
Hendry,9738,9738
