20:29:07
country,customer total,customer out
Walton,23211,13
,529,0
Lafayette,4034,3871
Shelby,13858,0
Rutherford,27340,870
Clermont,90324,0
Tipton,3501,0
Monroe,119951,55568
Robeson,24105,1
Suwannee,21816,16448
Greene,7221,1
Indian River,56925,37191
Transylvania,15660,136
Dearborn,8521,0
Scott,2804,0
Davie,13165,0
Davidson,33863,0
Yadkin,14159,0
Vigo,48482,0
Caldwell,23308,7
Warrick,1466,0
Darlington,20562,278
Richmond,15249,187
Union,37825,5007
Jones,1937,0
Brevard,308960,208888
Randolph,50691,18
Gilchrist,7923,5695
Bartholomew,27576,0
Pasco,265998,157066
Manatee,209422,98469
Anderson,86424,19924
Moore,42816,470
Duplin,12170,0
Graham,6179,2
Hoke,4929,1
Sullivan,6465,0
Fayette,9528,0
Caswell,9064,0
Desoto,17614,10569
Guilford,210369,237
Stanly,10950,0
Collier,212167,188024
Mitchell,5466,136
Highlands,55154,52504
Lee,289895,206552
Cabarrus,53193,550
Hillsborough,321025,237457
Orange,551123,291189
Liberty,3302,615
Stokes,18040,1
Pamlico,4070,0
Craven,18450,47
Glades,3354,179
Avery,1215,2
Lawrence,16988,0
Williamsburg,6470,2107
Alexander,11887,1
Wabash,11366,0
Marlboro,4474,35
Brown,17762,0
Halifax,2135,0
Iredell,49827,471
New Hanover,124924,223
Bladen,8812,9
Kosciusko,276,0
Miami,2654,0
Madison,16891,7308
Wilson,1600,0
Brunswick,14435,323
Ripley,7719,0
Howard,41053,0
Wake,431725,229
York,34467,1426
Hancock,10609,0
Hernando,94931,49626
Crawford,4481,0
Floyd,26087,0
Rockingham,45732,1
Morgan,9380,0
Duval,441599,186835
Rowan,63392,166
Pike,2429,0
Alachua,120576,49249
Cumberland,31706,0
Benton,451,0
Macon,25310,1284
Dixie,8742,7144
Delaware,85,0
Mccormick,19,11
Flagler,58357,48859
Vermillion,8251,0
Gulf,8433,240
Wells,205,0
Posey,1205,0
Pendleton,105,0
Washington,13393,57
Taylor,12739,6931
Columbia,31330,30400
Pitt,1997,0
Newberry,1785,202
Carroll,3782,0
Franklin,35478,1928
St. Johns,106678,61393
Miami-dade,1124137,730326
Marion,151521,100584
Huntington,10622,0
Georgetown,1708,45
Lancaster,32192,1093
Clark,37941,0
Rush,6244,0
Jennings,5381,0
Swain,11279,41
Johnston,68975,1
Mcdowell,18436,327
Cherokee,18147,126
Wilkes,29159,63
Carteret,25089,0
Chester,13976,1082
Harrison,4497,0
Pickens,25766,11010
Kenton,62170,0
Parke,1275,0
Buncombe,132274,4690
Calhoun,2029,547
Gadsden,14999,7053
Lake,149938,102758
Bay,106316,1232
Mecklenburg,448078,9193
Clinton,6436,0
Catawba,68932,127
Gaston,53643,811
Volusia,261351,184905
Cass,2907,0
Edgecombe,1364,0
Levy,19402,15300
Lenoir,11476,0
Person,13358,0
Campbell,40722,0
Alamance,74720,1
Henderson,63585,2222
Fountain,3715,0
Lincoln,20700,5
Okaloosa,92569,2
Decatur,7802,0
Daviess,1526,0
Scotland,6016,81
Fulton,5764,0
Charlotte,114552,44576
Onslow,24750,0
Highland,304,0
Spartanburg,124775,2356
Sarasota,265345,141378
St. Lucie,127029,73850
Whitley,103,0
Nassau,21867,16023
Horry,1533,0
Hendry,9738,8692
Greenville,195678,20288
Knox,15285,0
Holmes,5052,2
Surry,25245,0
Abbeville,2003,926
Forsyth,175791,2
Preble,273,0
Durham,140456,0
Hendricks,34543,0
Chatham,31535,0
Butler,125980,1
Johnson,36665,0
Sampson,17464,0
Burke,21612,59
Hardee,9248,7390
Chesterfield,10668,16
Martin,96358,62319
Citrus,87665,60178
Beaufort,4732,2
Sumter,102713,23378
Wayne,47553,1
Pinellas,543847,416238
Florence,52312,1764
Nash,23348,0
Switzerland,1082,0
Kershaw,5420,964
Palm Beach,742679,444849
Greenwood,25139,5502
Saluda,4,7
Oconee,10455,5351
Wakulla,15461,5759
Pender,16998,1
Unknown,5314,1803
Edgefield,999,4
Clarendon,6194,16
Harnett,34555,0
Leon,24519,8931
Columbus,16392,1
Haywood,23793,224
Seminole,211093,150921
Jackson,43975,8115
Gibson,9007,0
Boone,41268,1
Dillon,10339,92
Montgomery,13047,100
Escambia,152740,13
Fairfield,884,1
Hamilton,537677,5081
Clay,94814,40230
Henry,11672,0
Okeechobee,20093,13637
Santa Rosa,68740,33
Bradford,9842,6799
Dubois,2,0
Anson,5486,1
Putnam,50536,29559
Vance,20864,0
Baker,7860,5791
Jefferson,23138,7554
Yancey,652,111
Warren,85652,0
Osceola,70430,23739
Grant,3562,1
Polk,328285,128667
Cleveland,31559,87
Tippecanoe,57708,0
Broward,939274,572544
Owen,2868,0
Laurens,10047,3187
Granville,18148,0
