18:48:11
country,customer total,customer out
Walton,23211,35
,529,0
Lafayette,4034,3875
Shelby,13858,0
Rutherford,27340,831
Clermont,90324,1
Tipton,3501,0
Monroe,119951,55569
Robeson,24105,1
Suwannee,21816,19883
Greene,7221,1
Indian River,56925,38903
Transylvania,15660,87
Dearborn,8521,0
Scott,2804,0
Davie,13165,2
Davidson,33863,0
Yadkin,14159,1
Vigo,48482,0
Caldwell,23308,274
Warrick,1466,0
Darlington,20562,268
Richmond,15249,0
Union,37825,4898
Jones,1937,0
Brevard,308960,216088
Randolph,50691,8
Gilchrist,7923,5858
Bartholomew,27576,0
Pasco,265941,157018
Manatee,209422,105390
Anderson,86424,14025
Moore,42816,538
Duplin,12170,0
Graham,6179,2
Hoke,4929,0
Sullivan,6465,0
Fayette,9528,0
Caswell,9064,0
Desoto,17614,12148
Guilford,210369,25
Stanly,10950,0
Collier,212167,191502
Mitchell,5466,112
Highlands,55154,52504
Lee,289895,213893
Cabarrus,53193,377
Hillsborough,315993,241632
Orange,551123,294074
Liberty,3302,1120
Stokes,18040,0
Pamlico,4070,0
Craven,18450,113
Glades,3354,179
Avery,1215,1
Lawrence,16988,0
Williamsburg,6470,1738
Alexander,11887,0
Wabash,11366,0
Marlboro,4474,156
Brown,17762,0
Halifax,2135,0
Iredell,49827,502
New Hanover,124924,60
Bladen,8812,18
Kosciusko,276,0
Miami,2654,0
Madison,16891,7106
Wilson,1600,0
Brunswick,14435,155
Ripley,7719,0
Howard,41053,0
Wake,431725,0
York,34467,3029
Hancock,10609,0
Hernando,94931,49626
Crawford,4481,1
Floyd,26087,0
Rockingham,45732,1
Morgan,9380,1
Duval,441599,226127
Rowan,63392,3
Pike,2429,0
Alachua,120576,53085
Cumberland,31706,0
Benton,451,0
Macon,25310,1155
Dixie,8742,6927
Delaware,85,0
Mccormick,19,11
Flagler,58357,47030
Vermillion,8251,0
Gulf,8433,326
Wells,205,0
Posey,1205,0
Pendleton,105,0
Washington,13393,105
Taylor,12739,6960
Columbia,31330,30392
Pitt,1997,0
Newberry,1785,441
Carroll,3782,0
Franklin,35478,1928
St. Johns,106678,68047
Miami-dade,1124137,759714
Marion,151521,100529
Huntington,10622,0
Georgetown,1708,29
Lancaster,32192,2731
Clark,37941,0
Rush,6244,0
Jennings,5381,0
Swain,11279,41
Johnston,68975,1
Mcdowell,18436,6
Cherokee,18147,57
Wilkes,29159,0
Carteret,25089,0
Chester,13976,968
Harrison,4497,0
Pickens,25766,7456
Kenton,62170,0
Parke,1275,0
Buncombe,132274,2237
Calhoun,2029,711
Gadsden,14999,7594
Lake,149938,102758
Bay,106316,1860
Mecklenburg,448078,5735
Clinton,6436,0
Catawba,68932,25
Gaston,53643,131
Volusia,261351,186777
Cass,2907,0
Edgecombe,1364,0
Levy,19402,15889
Lenoir,11476,0
Person,13358,0
Campbell,40722,0
Alamance,74720,1
Henderson,63585,796
Fountain,3715,0
Lincoln,20700,4
Okaloosa,92569,1
Decatur,7802,0
Daviess,1526,0
Scotland,6016,121
Fulton,5764,0
Charlotte,114552,50409
Onslow,24750,0
Highland,304,0
Spartanburg,124775,1794
Sarasota,265345,147648
St. Lucie,127029,79636
Whitley,103,0
Nassau,21867,18154
Horry,1533,0
Hendry,9738,9738
Greenville,195678,20315
Knox,15285,0
Holmes,5052,43
Surry,25245,1
Abbeville,2003,923
Forsyth,175791,6
Preble,273,0
Durham,140456,4
Hendricks,34543,0
Chatham,31535,0
Butler,125980,2
Johnson,36665,0
Sampson,17464,0
Burke,21612,10
Hardee,9248,8398
Chesterfield,10668,45
Martin,96358,67798
Citrus,87665,60178
Beaufort,4732,0
Sumter,102713,23538
Wayne,47553,0
Pinellas,543847,416238
Florence,52312,2299
Nash,23348,0
Switzerland,1082,0
Kershaw,5420,2254
Palm Beach,742679,451830
Greenwood,25139,5088
Saluda,4,7
Oconee,10455,910
Wakulla,15461,6207
Pender,16998,1
Unknown,5314,1804
Edgefield,999,4
Clarendon,6194,17
Harnett,34555,0
Leon,24519,12143
Columbus,16392,0
Haywood,23793,217
Seminole,211093,151138
Jackson,43975,7436
Gibson,9007,0
Boone,41268,1
Dillon,10339,3
Montgomery,13047,124
Escambia,152740,26
Fairfield,884,682
Hamilton,537677,5943
Clay,94814,42899
Henry,11672,0
Okeechobee,20093,17777
Santa Rosa,68740,1
Bradford,9842,8301
Dubois,2,0
Anson,5486,66
Putnam,50536,32372
Vance,20864,0
Baker,7860,6730
Jefferson,23138,7554
Yancey,652,111
Warren,85652,0
Osceola,70430,25180
Grant,3562,0
Polk,328269,130028
Cleveland,31559,334
Tippecanoe,57708,2
Broward,939274,591987
Owen,2868,0
Laurens,10047,3296
Granville,18148,0
