08:02:26
country,customer total,customer out
,529,0
Sumter,102713,21780
Franklin,35478,26
Union,37825,2540
Wake,431725,650
Randolph,50691,0
Anderson,86424,74
Greenwood,25139,832
Lenoir,11476,0
Chatham,31535,0
Bradford,9842,9216
Edgecombe,1364,0
Fountain,3715,0
Gulf,8433,146
Williamsburg,6470,9
Highlands,55154,49119
Stokes,18040,0
Lincoln,20700,0
Onslow,24750,0
Columbus,16392,0
Moore,42816,1
Jennings,5381,0
Seminole,211093,136642
Spartanburg,124775,2
Beaufort,4732,0
Owen,2868,0
Fayette,9528,0
Suwannee,21561,20787
Harrison,4497,8
Cleveland,31559,0
Kosciusko,276,0
Person,13358,0
Hancock,10609,0
Highland,304,0
Gilchrist,7065,6769
Haywood,23793,0
Alamance,74720,1
Horry,1533,0
Dillon,10339,1
Surry,25245,0
Warrick,1466,0
Dubois,2,0
Rockingham,45732,0
Clarendon,6194,47
Polk,312881,105849
Ripley,7719,1
Avery,1215,0
Chesterfield,10668,0
Scott,2804,0
Charlotte,114552,66107
Morgan,9380,0
Mitchell,5466,0
Pamlico,4070,0
Catawba,68932,0
Laurens,10047,0
Osceola,70088,29551
Leon,24519,14691
Columbia,31330,29506
Monroe,119951,50249
Chester,13976,0
Buncombe,132274,6
St. Johns,106678,84634
Georgetown,1708,1
Howard,41053,0
Stanly,10950,0
Yadkin,14159,0
Warren,85652,0
Rutherford,27340,0
Lafayette,4034,3362
Macon,25310,0
Bartholomew,27576,1
Cabarrus,53193,0
Davie,13165,0
Orange,547385,280570
Switzerland,1082,0
Miami-dade,1124137,816386
Daviess,1526,0
Posey,1205,0
Cherokee,18147,1
Yancey,652,0
Hendricks,34543,0
Broward,939274,640138
Scotland,6016,0
Mecklenburg,448078,213
Parke,1275,0
Pender,16998,0
Boone,41268,0
Pasco,264284,92339
Palm Beach,742679,518098
Graham,6179,0
Jefferson,22963,4373
Vance,20864,0
Holmes,5052,1075
Mccormick,19,0
Iredell,49827,0
Campbell,40722,63
Decatur,7802,0
Martin,96358,76966
Rowan,63392,3
Carteret,25089,0
Wilson,1600,0
Johnston,68975,2
Brown,17762,0
Anson,5486,0
Vermillion,8251,0
Crawford,4481,1
Clark,37941,0
Huntington,10622,0
Unknown,5314,444
Oconee,10455,0
Lancaster,32192,17
Okaloosa,92569,2
Edgefield,999,0
Wayne,47553,0
Vigo,48482,0
Kershaw,5420,0
Madison,16891,6322
Alexander,11887,0
Wilkes,29159,2
Halifax,2135,0
Clermont,90324,0
Duplin,12170,1
Putnam,50536,34867
Hamilton,537677,4809
Wabash,11366,0
Lawrence,16988,0
Darlington,20562,0
Dixie,7505,6863
Cass,2907,0
Desoto,17559,15954
Pinellas,543847,298391
Saluda,4,0
Sampson,17464,1
Grant,3562,0
Flagler,58357,50491
Dearborn,8521,0
Cumberland,31706,1
Collier,212167,194813
Marion,151521,84548
Transylvania,15660,0
Tipton,3501,0
Bladen,8812,0
Glades,3354,143
Shelby,13858,0
Wakulla,15461,6730
Davidson,33863,0
Pitt,1997,0
Knox,15285,0
Taylor,12739,8025
Alachua,120568,60416
Butler,125980,2
Rush,6244,0
Hernando,94931,30408
Harnett,34555,297
Burke,21612,0
Calhoun,1924,955
Baker,7860,7433
Florence,52312,133
Clay,94814,52891
Nassau,21867,21866
Craven,18450,0
Swain,11279,0
Nash,23348,0
Wells,205,0
Liberty,3302,1877
Caldwell,23308,0
Forsyth,175791,3
Marlboro,4474,0
Greene,7221,0
Preble,273,0
Gibson,9007,0
Clinton,6436,0
New Hanover,124924,14
Bay,104611,361
Hardee,9248,8790
Caswell,9064,0
Pike,2429,0
Floyd,26087,0
Brunswick,14435,106
Sullivan,6465,0
Guilford,210369,0
Lake,149938,74327
Delaware,85,0
Abbeville,2003,0
Henry,11672,0
Hoke,4929,0
Benton,451,0
Lee,289895,232153
Mcdowell,18436,1
Henderson,63585,1
Pendleton,105,0
Manatee,209417,127675
Whitley,103,0
Escambia,152740,4
Fulton,5764,0
Fairfield,884,0
Hillsborough,266576,244241
Carroll,3782,0
Washington,12414,79
Miami,2654,0
Brevard,308960,261520
Pickens,25766,0
Volusia,261351,177962
Richmond,15249,0
St. Lucie,127029,90549
Indian River,56923,46619
Citrus,87665,40649
Durham,140456,0
Tippecanoe,57708,0
Granville,18148,0
Johnson,36665,0
Montgomery,13047,0
Sarasota,265342,163261
Levy,18863,14725
York,34467,0
Jones,1937,0
Kenton,62170,0
Robeson,24105,0
Greenville,195678,8
Santa Rosa,68740,3
Okeechobee,20093,19742
Gadsden,14999,8364
Newberry,1785,0
Jackson,43380,1205
Walton,23162,4
Gaston,53643,6
Duval,441599,252544
Hendry,9738,9738
