00:21:22
country,customer total,customer out
Walton,23211,0
,529,0
Lafayette,4034,3874
Shelby,13858,0
Rutherford,27340,3079
Clermont,90324,0
Tipton,3501,0
Monroe,119951,55568
Robeson,24105,45
Suwannee,21816,18003
Greene,7221,0
Indian River,56925,36579
Transylvania,15660,140
Dearborn,8521,0
Scott,2804,0
Davie,13165,0
Davidson,33863,53
Yadkin,14159,0
Vigo,48482,0
Caldwell,23308,36
Warrick,1466,0
Darlington,20562,126
Richmond,15249,49
Union,37825,5297
Jones,1937,0
Brevard,308960,203277
Randolph,50691,1
Gilchrist,7923,5597
Bartholomew,27576,0
Pasco,266024,150369
Manatee,209422,91227
Anderson,86424,25903
Moore,42816,460
Duplin,12170,0
Graham,6179,85
Hoke,4929,0
Sullivan,6465,0
Fayette,9528,0
Caswell,9064,0
Desoto,17614,10313
Guilford,210369,22
Stanly,10950,27
Collier,212167,187174
Mitchell,5466,735
Highlands,55154,52504
Lee,289895,213909
Cabarrus,53193,663
Hillsborough,321186,236521
Orange,551123,290260
Liberty,3302,615
Stokes,18040,0
Pamlico,4070,0
Craven,18450,0
Glades,3354,179
Avery,1215,54
Lawrence,16988,0
Williamsburg,6470,1106
Alexander,11887,9
Wabash,11366,0
Marlboro,4474,25
Brown,17762,0
Halifax,2135,0
Iredell,49827,4
New Hanover,124924,141
Bladen,8812,0
Kosciusko,276,0
Miami,2654,0
Madison,16891,7347
Wilson,1600,0
Brunswick,14435,6
Ripley,7719,0
Howard,41053,0
Wake,431725,0
York,34467,4237
Hancock,10609,0
Hernando,94931,48454
Crawford,4481,0
Floyd,26087,1
Rockingham,45732,0
Morgan,9380,0
Duval,441577,162508
Rowan,63392,530
Pike,2429,0
Alachua,120576,44843
Cumberland,31706,0
Benton,451,0
Macon,25310,7025
Dixie,8742,6774
Delaware,85,0
Mccormick,19,11
Flagler,58357,43797
Vermillion,8251,0
Gulf,8433,229
Wells,205,0
Posey,1205,0
Pendleton,105,0
Washington,13393,2
Taylor,12739,6863
Columbia,31330,30420
Pitt,1997,0
Newberry,1785,210
Carroll,3782,0
Franklin,35478,1928
St. Johns,106677,57198
Miami-dade,1124137,699301
Marion,151521,100155
Huntington,10622,0
Georgetown,1708,32
Lancaster,32192,1272
Clark,37941,0
Rush,6244,0
Jennings,5381,0
Swain,11279,314
Johnston,68975,0
Mcdowell,18436,169
Cherokee,18147,179
Wilkes,29159,1
Carteret,25089,0
Chester,13976,1027
Harrison,4497,0
Pickens,25766,14360
Kenton,62170,0
Parke,1275,0
Buncombe,132274,18187
Calhoun,2029,12
Gadsden,14999,7083
Lake,149938,96704
Bay,106316,71
Mecklenburg,448078,12554
Clinton,6436,0
Catawba,68932,268
Gaston,53643,1305
Volusia,261351,177617
Cass,2907,0
Edgecombe,1364,0
Levy,19402,15239
Lenoir,11476,0
Person,13358,0
Campbell,40722,0
Alamance,74720,0
Henderson,63585,4436
Fountain,3715,0
Lincoln,20700,13
Okaloosa,92569,1
Decatur,7802,0
Daviess,1526,0
Scotland,6016,0
Fulton,5764,0
Charlotte,114552,46756
Onslow,24750,0
Highland,304,0
Spartanburg,124775,4066
Sarasota,265345,132182
St. Lucie,127029,62574
Whitley,103,0
Nassau,21867,18203
Horry,1533,0
Hendry,9738,8692
Greenville,195678,30203
Knox,15285,0
Holmes,5052,0
Surry,25245,0
Abbeville,2003,937
Forsyth,175791,1
Preble,273,0
Durham,140456,0
Hendricks,34543,0
Chatham,31535,0
Butler,125980,0
Johnson,36665,0
Sampson,17464,0
Burke,21612,90
Hardee,9248,7044
Chesterfield,10668,66
Martin,96358,62252
Citrus,87665,62211
Beaufort,4732,0
Sumter,102713,20303
Wayne,47553,0
Pinellas,543847,416256
Florence,52312,1825
Nash,23348,0
Switzerland,1082,0
Kershaw,5420,20
Palm Beach,742679,408823
Greenwood,25139,5841
Saluda,4,7
Oconee,10455,6371
Wakulla,15461,5732
Pender,16998,0
Unknown,5314,857
Edgefield,999,2
Clarendon,6194,12
Harnett,34555,0
Leon,24518,8969
Columbus,16392,0
Haywood,23793,800
Seminole,211093,149321
Jackson,43975,9326
Gibson,9007,0
Boone,41268,0
Dillon,10339,134
Montgomery,13047,326
Escambia,152740,1
Fairfield,884,5
Hamilton,537677,5426
Clay,94813,37940
Henry,11672,0
Okeechobee,20093,14309
Santa Rosa,68740,0
Bradford,9842,6756
Dubois,2,0
Anson,5486,0
Putnam,50536,29916
Vance,20864,0
Baker,7860,4268
Jefferson,23138,7350
Yancey,652,111
Warren,85652,0
Osceola,70430,22330
Grant,3562,2
Polk,330376,127564
Cleveland,31559,1831
Tippecanoe,57708,0
Broward,939274,563311
Owen,2868,0
Laurens,10047,3452
Granville,18148,0
