09:46:49
country,customer total,customer out
Walton,23211,0
,529,0
Lafayette,4034,3878
Shelby,13858,0
Rutherford,27340,2033
Clermont,90324,40
Tipton,3501,0
Monroe,119951,55568
Robeson,24105,255
Suwannee,21816,17199
Greene,7221,0
Indian River,56925,34732
Transylvania,15660,152
Dearborn,8521,0
Scott,2804,0
Davie,13165,3
Davidson,33863,44
Yadkin,14159,0
Vigo,48482,0
Caldwell,23308,107
Warrick,1466,0
Darlington,20562,60
Richmond,15249,0
Union,37825,4592
Jones,1937,0
Brevard,308960,195454
Randolph,50691,130
Gilchrist,7923,5827
Bartholomew,27576,0
Pasco,266150,149232
Manatee,209422,83298
Anderson,86424,26087
Moore,42816,0
Duplin,12170,1
Graham,6179,83
Hoke,4929,1
Sullivan,6465,0
Fayette,9528,0
Caswell,9064,0
Desoto,17614,10317
Guilford,210369,25
Stanly,10950,29
Collier,212167,178504
Mitchell,5466,1195
Highlands,55154,52516
Lee,289895,209939
Cabarrus,53193,554
Hillsborough,321458,218225
Orange,551123,272993
Liberty,3302,758
Stokes,18040,18
Pamlico,4070,1
Craven,18450,1
Glades,3354,179
Avery,1215,81
Lawrence,16988,11
Williamsburg,6470,1047
Alexander,11887,19
Wabash,11366,0
Marlboro,4474,63
Brown,17762,0
Halifax,2135,0
Iredell,49827,99
New Hanover,124924,347
Bladen,8812,1
Kosciusko,276,0
Miami,2654,0
Madison,16891,7464
Wilson,1600,0
Brunswick,14435,13
Ripley,7719,0
Howard,41053,7
Wake,431725,235
York,34467,1520
Hancock,10609,0
Hernando,94931,48491
Crawford,4481,0
Floyd,26087,0
Rockingham,45732,0
Morgan,9380,0
Duval,441577,159922
Rowan,63392,469
Pike,2429,0
Alachua,120576,35696
Cumberland,31706,0
Benton,451,0
Macon,25310,5974
Dixie,8742,6718
Delaware,85,0
Mccormick,19,11
Flagler,58357,39970
Vermillion,8251,1
Gulf,8433,309
Wells,205,0
Posey,1205,0
Pendleton,105,0
Washington,13393,5
Taylor,12739,9103
Columbia,31602,22250
Pitt,1997,0
Newberry,1785,215
Carroll,3782,0
Franklin,35478,1894
St. Johns,106677,47431
Miami-dade,1124137,661315
Marion,151521,100265
Huntington,10622,0
Georgetown,1708,6
Lancaster,32192,1406
Clark,37941,0
Rush,6244,0
Jennings,5381,0
Swain,11279,530
Johnston,68975,0
Mcdowell,18436,180
Cherokee,18147,164
Wilkes,29159,57
Carteret,25089,0
Chester,13976,1325
Harrison,4497,0
Pickens,25766,15217
Kenton,62170,1
Parke,1275,0
Buncombe,132274,15752
Calhoun,2029,1
Gadsden,14999,6945
Lake,149938,95308
Bay,106316,1826
Mecklenburg,448078,8258
Clinton,6436,0
Catawba,68932,52
Gaston,53643,943
Volusia,261351,177973
Cass,2907,0
Edgecombe,1364,0
Levy,19402,13485
Lenoir,11476,1
Person,13358,0
Campbell,40722,0
Alamance,74720,1
Henderson,63585,5604
Fountain,3715,0
Lincoln,20700,191
Okaloosa,92569,3
Decatur,7802,0
Daviess,1526,0
Scotland,6016,1
Fulton,5764,0
Charlotte,114552,43045
Onslow,24750,0
Highland,304,0
Spartanburg,124775,3211
Sarasota,265345,131956
St. Lucie,127029,54554
Whitley,103,0
Nassau,21867,13443
Horry,1533,0
Hendry,9738,8814
Greenville,195678,33261
Knox,15285,0
Holmes,5052,22
Surry,25245,13
Abbeville,2003,942
Forsyth,175791,279
Preble,273,0
Durham,140456,62
Hendricks,34543,0
Chatham,31535,0
Butler,125980,0
Johnson,36665,1
Sampson,17464,0
Burke,21612,107
Hardee,9248,7210
Chesterfield,10668,19
Martin,96358,53517
Citrus,87665,62332
Beaufort,4732,0
Sumter,102713,20414
Wayne,47553,14
Pinellas,543847,417553
Florence,52312,595
Nash,23348,0
Switzerland,1082,0
Kershaw,5420,49
Palm Beach,742679,379932
Greenwood,25139,5775
Saluda,4,7
Oconee,10455,4920
Wakulla,15461,5434
Pender,16998,2
Unknown,5314,863
Edgefield,999,2
Clarendon,6194,16
Harnett,34555,0
Leon,24518,7129
Columbus,16392,2
Haywood,23793,825
Seminole,211093,145985
Jackson,43975,9258
Gibson,9007,0
Boone,41268,0
Dillon,10339,61
Montgomery,13047,1
Escambia,152740,11
Fairfield,884,8
Hamilton,537677,4965
Clay,94813,37647
Henry,11672,0
Okeechobee,20093,14010
Santa Rosa,68740,3
Bradford,9842,6496
Dubois,2,0
Anson,5486,0
Putnam,50536,30506
Vance,20864,0
Baker,7860,4507
Jefferson,23138,7287
Yancey,652,51
Warren,85652,1
Osceola,70514,20206
Grant,3562,0
Polk,336155,122231
Cleveland,31559,2022
Tippecanoe,57708,0
Broward,939274,478659
Owen,2868,0
Laurens,10047,3481
Granville,18148,1
