07:35:33
country,customer total,customer out
Walton,23211,0
,529,0
Lafayette,4034,3876
Shelby,13858,1
Rutherford,27340,2451
Clermont,90324,0
Tipton,3501,0
Monroe,119951,55568
Robeson,24105,423
Suwannee,21816,17263
Greene,7221,0
Indian River,56925,36784
Transylvania,15660,140
Dearborn,8521,0
Scott,2804,0
Davie,13165,1
Davidson,33863,41
Yadkin,14159,0
Vigo,48482,2
Caldwell,23308,34
Warrick,1466,0
Darlington,20562,126
Richmond,15249,35
Union,37825,5305
Jones,1937,0
Brevard,308960,197861
Randolph,50691,1
Gilchrist,7923,6069
Bartholomew,27576,0
Pasco,266027,150211
Manatee,209422,82729
Anderson,86424,26205
Moore,42816,8
Duplin,12170,5
Graham,6179,107
Hoke,4929,0
Sullivan,6465,0
Fayette,9528,0
Caswell,9064,0
Desoto,17614,10323
Guilford,210369,133
Stanly,10950,286
Collier,212167,183664
Mitchell,5466,1000
Highlands,55154,52516
Lee,289895,211219
Cabarrus,53193,1161
Hillsborough,321379,216420
Orange,551123,278403
Liberty,3302,547
Stokes,18040,0
Pamlico,4070,0
Craven,18450,0
Glades,3354,179
Avery,1215,133
Lawrence,16988,4
Williamsburg,6470,1113
Alexander,11887,19
Wabash,11366,0
Marlboro,4474,25
Brown,17762,0
Halifax,2135,0
Iredell,49827,63
New Hanover,124924,433
Bladen,8812,0
Kosciusko,276,0
Miami,2654,0
Madison,16891,7531
Wilson,1600,0
Brunswick,14435,23
Ripley,7719,0
Howard,41053,0
Wake,431725,13
York,34467,1142
Hancock,10609,0
Hernando,94931,48491
Crawford,4481,0
Floyd,26087,0
Rockingham,45732,0
Morgan,9380,0
Duval,441577,161946
Rowan,63392,471
Pike,2429,0
Alachua,120576,38126
Cumberland,31706,0
Benton,451,0
Macon,25310,7042
Dixie,8742,7291
Delaware,85,0
Mccormick,19,11
Flagler,58357,41851
Vermillion,8251,0
Gulf,8433,314
Wells,205,0
Posey,1205,0
Pendleton,105,0
Washington,13393,0
Taylor,12739,9541
Columbia,31602,24762
Pitt,1997,0
Newberry,1785,210
Carroll,3782,0
Franklin,35478,1894
St. Johns,106677,46569
Miami-dade,1124137,658093
Marion,151521,100295
Huntington,10622,0
Georgetown,1708,32
Lancaster,32192,1269
Clark,37941,0
Rush,6244,0
Jennings,5381,0
Swain,11279,374
Johnston,68975,0
Mcdowell,18436,175
Cherokee,18147,155
Wilkes,29159,291
Carteret,25089,1
Chester,13976,1266
Harrison,4497,0
Pickens,25766,15064
Kenton,62170,0
Parke,1275,0
Buncombe,132274,15775
Calhoun,2029,8
Gadsden,14999,7015
Lake,149938,95308
Bay,106316,11
Mecklenburg,448078,9289
Clinton,6436,0
Catawba,68932,133
Gaston,53643,1366
Volusia,261351,178090
Cass,2907,0
Edgecombe,1364,0
Levy,19402,14802
Lenoir,11476,0
Person,13358,0
Campbell,40722,0
Alamance,74720,1
Henderson,63585,5385
Fountain,3715,0
Lincoln,20700,188
Okaloosa,92569,7
Decatur,7802,0
Daviess,1526,0
Scotland,6016,0
Fulton,5764,0
Charlotte,114552,44059
Onslow,24750,0
Highland,304,0
Spartanburg,124775,4276
Sarasota,265345,127213
St. Lucie,127029,55687
Whitley,103,0
Nassau,21867,13405
Horry,1533,0
Hendry,9738,8692
Greenville,195678,31747
Knox,15285,0
Holmes,5052,32
Surry,25245,2
Abbeville,2003,937
Forsyth,175791,57
Preble,273,0
Durham,140456,37
Hendricks,34543,0
Chatham,31535,0
Butler,125980,0
Johnson,36665,0
Sampson,17464,1
Burke,21612,288
Hardee,9248,6990
Chesterfield,10668,68
Martin,96358,59037
Citrus,87665,62332
Beaufort,4732,0
Sumter,102713,20393
Wayne,47553,1
Pinellas,543847,417550
Florence,52312,1794
Nash,23348,0
Switzerland,1082,0
Kershaw,5420,26
Palm Beach,742679,385197
Greenwood,25139,5792
Saluda,4,7
Oconee,10455,4812
Wakulla,15461,5696
Pender,16998,2
Unknown,5314,857
Edgefield,999,2
Clarendon,6194,12
Harnett,34555,0
Leon,24518,7597
Columbus,16392,1
Haywood,23793,722
Seminole,211093,145896
Jackson,43975,9120
Gibson,9007,0
Boone,41268,1
Dillon,10339,136
Montgomery,13047,3
Escambia,152740,136
Fairfield,884,6
Hamilton,537677,5364
Clay,94813,39855
Henry,11672,0
Okeechobee,20093,14669
Santa Rosa,68740,2
Bradford,9842,7339
Dubois,2,0
Anson,5486,0
Putnam,50536,29148
Vance,20864,0
Baker,7860,4638
Jefferson,23138,7364
Yancey,652,147
Warren,85652,0
Osceola,70432,19766
Grant,3562,0
Polk,335386,121920
Cleveland,31559,1983
Tippecanoe,57708,0
Broward,939274,486516
Owen,2868,0
Laurens,10047,3453
Granville,18148,0
